shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
12,-78.511250,38.027630,60
12,-78.510570,38.028050,61
12,-78.509950,38.028440,62
12,-78.509580,38.028810,63
12,-78.509250,38.029280,64
12,-78.508220,38.030810,65
12,-78.507949,38.031280,66
12,-78.507690,38.031690,67
12,-78.507580,38.032020,68
12,-78.507490,38.032070,69
12,-78.507400,38.032090,70
12,-78.506790,38.032120,71
12,-78.506390,38.032100,72
12,-78.505910,38.032070,73
12,-78.504600,38.032030,74
12,-78.503640,38.032030,75
12,-78.502710,38.032070,76
12,-78.501780,38.032100,77
12,-78.499760,38.032680,78
12,-78.498840,38.032910,79
12,-78.497730,38.033250,80
12,-78.498320,38.033420,81
12,-78.498890,38.033660,82
12,-78.499540,38.033990,83
12,-78.499200,38.034750,84
12,-78.498670,38.035710,85
12,-78.498480,38.036090,86
12,-78.497890,38.037240,87
12,-78.497870,38.037280,88
12,-78.497610,38.037770,89
12,-78.496770,38.039210,90
12,-78.496200,38.040150,91
12,-78.495900,38.040710,92
12,-78.495820,38.040820,93
12,-78.495710,38.040940,94
12,-78.495560,38.041050,95
12,-78.494249,38.041820,96
12,-78.494050,38.041870,97
12,-78.493810,38.041880,98
12,-78.492947,38.041829,99
20,-78.519640,38.028907,1
20,-78.519451,38.029068,2
20,-78.519425,38.029205,3
20,-78.519511,38.029303,4
20,-78.519753,38.029401,5
20,-78.519925,38.029440,6
20,-78.520112,38.029462,7
20,-78.520324,38.029463,8
20,-78.520419,38.029619,9
20,-78.520514,38.029674,10
20,-78.520469,38.030367,11
20,-78.520419,38.030366,12
20,-78.520296,38.030466,13
20,-78.519856,38.030455,14
20,-78.519437,38.030527,15
20,-78.519119,38.030609,16
20,-78.518903,38.030761,17
20,-78.518555,38.031169,18
20,-78.518385,38.031431,19
20,-78.518254,38.031670,20
20,-78.518150,38.031990,21
20,-78.517970,38.032050,22
20,-78.517700,38.032650,23
20,-78.517690,38.032720,24
20,-78.517720,38.032820,25
20,-78.517870,38.033070,26
20,-78.517900,38.033150,27
20,-78.517910,38.033240,28
20,-78.517850,38.033560,29
20,-78.517670,38.033970,30
20,-78.517280,38.034640,31
20,-78.517130,38.034790,32
20,-78.516930,38.034940,33
20,-78.516710,38.035010,34
20,-78.515780,38.035100,35
20,-78.514050,38.035220,36
20,-78.513810,38.035230,37
20,-78.513700,38.035220,38
20,-78.513660,38.035210,39
20,-78.513460,38.035090,40
20,-78.512829,38.034680,41
20,-78.512460,38.034530,42
20,-78.511080,38.034030,43
20,-78.510900,38.033980,44
20,-78.510510,38.033860,45
20,-78.510150,38.033770,46
20,-78.509630,38.033730,47
20,-78.508890,38.033710,48
20,-78.508450,38.033690,49
20,-78.507960,38.033650,50
20,-78.507710,38.033670,51
20,-78.507490,38.033710,52
20,-78.507260,38.033810,53
20,-78.507000,38.033930,54
20,-78.506650,38.034090,55
20,-78.506310,38.034230,56
20,-78.505990,38.034380,57
20,-78.505840,38.034510,58
20,-78.505750,38.034600,59
20,-78.505170,38.035570,60
20,-78.504780,38.036190,61
20,-78.504570,38.036530,62
20,-78.504570,38.036720,63
20,-78.504610,38.036910,64
20,-78.504670,38.037050,65
20,-78.504840,38.037310,66
20,-78.504930,38.037420,67
20,-78.505740,38.038930,68
20,-78.505889,38.039260,69
20,-78.505960,38.039370,70
20,-78.506130,38.039520,71
20,-78.506620,38.039820,72
20,-78.505400,38.043440,73
20,-78.505030,38.044360,74
20,-78.509750,38.046390,75
20,-78.510300,38.045460,76
20,-78.510668,38.044942,77
20,-78.510271,38.044749,78
20,-78.510659,38.044278,79
20,-78.510434,38.044052,80
20,-78.510097,38.043922,81
20,-78.508724,38.045944,82
20,-78.509750,38.046390,83
20,-78.511150,38.047080,84
20,-78.511430,38.047280,85
20,-78.511709,38.047550,86
20,-78.511940,38.047850,87
20,-78.512030,38.048010,88
20,-78.512070,38.048190,89
20,-78.512100,38.048940,90
20,-78.512289,38.049300,91
20,-78.512730,38.049750,92
20,-78.513050,38.049970,93
20,-78.512210,38.051230,94
20,-78.511860,38.051650,95
20,-78.512370,38.051890,96
20,-78.512480,38.051990,97
20,-78.512600,38.052040,98
20,-78.513710,38.052450,99
20,-78.513840,38.052330,100
20,-78.513790,38.052150,101
20,-78.512760,38.051750,102
20,-78.512440,38.051710,103
20,-78.511979,38.051540,104
20,-78.511860,38.051650,105
20,-78.510970,38.051910,106
20,-78.509310,38.051970,107
20,-78.509110,38.051660,108
20,-78.508590,38.051400,109
20,-78.508210,38.050930,110
20,-78.508000,38.050740,111
20,-78.506040,38.049240,112
20,-78.505404,38.048859,113
20,-78.504810,38.049412,114
20,-78.503792,38.048751,115
20,-78.504323,38.048210,116
20,-78.504850,38.048510,117
21,-78.519640,38.028907,1
21,-78.519451,38.029068,2
21,-78.519425,38.029205,3
21,-78.519511,38.029303,4
21,-78.519753,38.029401,5
21,-78.519925,38.029440,6
21,-78.520112,38.029462,7
21,-78.520324,38.029463,8
21,-78.520419,38.029619,9
21,-78.520514,38.029674,10
21,-78.520469,38.030367,11
21,-78.520419,38.030366,12
21,-78.520296,38.030466,13
21,-78.519856,38.030455,14
21,-78.519437,38.030527,15
21,-78.519119,38.030609,16
21,-78.518903,38.030761,17
21,-78.518555,38.031169,18
21,-78.518385,38.031431,19
21,-78.518254,38.031670,20
21,-78.518150,38.031990,21
21,-78.517970,38.032050,22
21,-78.517700,38.032650,23
21,-78.517690,38.032720,24
21,-78.517720,38.032820,25
21,-78.517870,38.033070,26
21,-78.517900,38.033150,27
21,-78.517910,38.033240,28
21,-78.517850,38.033560,29
21,-78.517670,38.033970,30
21,-78.517280,38.034640,31
21,-78.517130,38.034790,32
21,-78.516930,38.034940,33
21,-78.516710,38.035010,34
21,-78.515780,38.035100,35
21,-78.514050,38.035220,36
21,-78.513810,38.035230,37
21,-78.513700,38.035220,38
21,-78.513660,38.035210,39
21,-78.513460,38.035090,40
21,-78.512829,38.034680,41
21,-78.512460,38.034530,42
21,-78.511080,38.034030,43
21,-78.510900,38.033980,44
21,-78.510510,38.033860,45
21,-78.510150,38.033770,46
21,-78.509630,38.033730,47
21,-78.508890,38.033710,48
21,-78.508450,38.033690,49
21,-78.507960,38.033650,50
21,-78.507710,38.033670,51
21,-78.507490,38.033710,52
21,-78.507260,38.033810,53
21,-78.507000,38.033930,54
21,-78.506650,38.034090,55
21,-78.506310,38.034230,56
21,-78.505990,38.034380,57
21,-78.505840,38.034510,58
21,-78.505750,38.034600,59
21,-78.505170,38.035570,60
21,-78.504780,38.036190,61
21,-78.504570,38.036530,62
21,-78.504570,38.036720,63
21,-78.504610,38.036910,64
21,-78.504670,38.037050,65
21,-78.504840,38.037310,66
21,-78.504930,38.037420,67
21,-78.505740,38.038930,68
21,-78.505889,38.039260,69
21,-78.505960,38.039370,70
21,-78.506130,38.039520,71
21,-78.506620,38.039820,72
21,-78.505400,38.043440,73
21,-78.505030,38.044360,74
21,-78.509750,38.046390,75
21,-78.510300,38.045460,76
21,-78.510668,38.044942,77
21,-78.510271,38.044749,78
21,-78.510659,38.044278,79
21,-78.510434,38.044052,80
21,-78.510097,38.043922,81
21,-78.508724,38.045944,82
21,-78.509750,38.046390,83
21,-78.511150,38.047080,84
21,-78.511430,38.047280,85
21,-78.511709,38.047550,86
21,-78.511940,38.047850,87
21,-78.512030,38.048010,88
21,-78.512070,38.048190,89
21,-78.512100,38.048940,90
21,-78.512289,38.049300,91
21,-78.512730,38.049750,92
21,-78.513050,38.049970,93
21,-78.512210,38.051230,94
21,-78.511860,38.051650,95
21,-78.512370,38.051890,96
21,-78.512480,38.051990,97
21,-78.512600,38.052040,98
21,-78.513710,38.052450,99
21,-78.513840,38.052330,100
21,-78.513790,38.052150,101
21,-78.512760,38.051750,102
21,-78.512440,38.051710,103
21,-78.511979,38.051540,104
21,-78.511860,38.051650,105
21,-78.510970,38.051910,106
21,-78.509310,38.051970,107
21,-78.509110,38.051660,108
21,-78.508590,38.051400,109
21,-78.508210,38.050930,110
21,-78.506040,38.049240,111
21,-78.505404,38.048859,112
21,-78.504810,38.049412,113
21,-78.503792,38.048751,114
21,-78.504323,38.048210,115
21,-78.504850,38.048510,116
21,-78.506040,38.049240,117
21,-78.508210,38.050930,118
21,-78.508590,38.051400,119
21,-78.509110,38.051660,120
21,-78.509310,38.051970,121
21,-78.510970,38.051910,122
21,-78.511860,38.051650,123
21,-78.512370,38.051890,124
21,-78.512480,38.051990,125
21,-78.512600,38.052040,126
21,-78.513710,38.052450,127
21,-78.513840,38.052330,128
21,-78.513790,38.052150,129
21,-78.512760,38.051750,130
21,-78.512440,38.051710,131
21,-78.511979,38.051540,132
21,-78.512210,38.051230,133
21,-78.513050,38.049970,134
21,-78.512730,38.049750,135
21,-78.512289,38.049300,136
21,-78.512100,38.048940,137
21,-78.512070,38.048190,138
21,-78.511940,38.047850,139
21,-78.511709,38.047550,140
21,-78.511430,38.047280,141
21,-78.511150,38.047080,142
21,-78.509750,38.046390,143
21,-78.510300,38.045460,144
21,-78.510687,38.044949,145
21,-78.510280,38.044749,146
21,-78.510648,38.044294,147
